,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr
797,9841,20637,32389,IN
798,860,2579,3654,IN
799,1243,3349,4822,IN
800,10181,19654,32061,IN
801,2518,5015,7908,IN
802,1891,6273,8609,IN
803,3758,9697,14135,IN
804,18791,30012,51104,IN
805,2306,8528,11259,IN
806,2819,8530,11896,IN
807,1323,3013,4591,IN
808,1800,8545,10736,IN
809,4883,18110,23910,IN
810,2121,8488,11095,IN
811,3941,12054,16816,IN
812,18100,24217,44699,IN
813,5389,13365,19917,IN
814,20667,41810,65187,IN
815,2252,6839,9530,IN
816,13939,21427,37225,IN
817,1476,5661,7474,IN
818,1967,8665,10990,IN
819,1960,6010,8374,IN
820,3720,11079,15472,IN
821,7029,17009,25239,IN
822,2929,10275,13763,IN
823,57214,87299,153630,IN
824,8901,25050,36027,IN
825,4776,12993,18528,IN
826,22595,48326,75258,IN
827,5124,13895,20075,IN
828,11215,23675,36754,IN
829,3506,11649,15974,IN
830,3843,12857,17532,IN
831,3329,9382,13331,IN
832,1889,5697,7962,IN
833,4325,8538,13461,IN
834,2364,8222,11115,IN
835,17318,45456,66229,IN
836,3772,11077,15483,IN
837,6311,23909,31907,IN
838,2080,7025,9552,IN
839,116896,75565,200247,IN
840,19795,22678,44994,IN
841,4210,14034,19076,IN
842,18595,32376,53660,IN
843,212676,130228,361070,IN
844,4798,12286,18008,IN
845,881,3695,4807,IN
846,2766,9975,13440,IN
847,34183,20527,57623,IN
848,3362,11051,15101,IN
849,6037,23671,31180,IN
850,1403,4074,5791,IN
851,3904,12198,16890,IN
852,686,2118,2917,IN
853,2048,5800,8189,IN
854,1946,6151,8520,IN
855,1441,4863,6576,IN
856,3062,4556,8025,IN
857,1297,4398,5977,IN
858,33531,38719,76492,IN
859,3515,8393,12448,IN
860,1327,3854,5437,IN
861,3356,10637,14680,IN
862,2446,7515,10456,IN
863,2471,9806,12790,IN
864,1525,5292,7214,IN
865,2642,6074,9060,IN
866,4247,12718,17935,IN
867,2861,6572,9959,IN
868,52247,52019,109452,IN
869,2489,6367,9226,IN
870,3741,10127,14530,IN
871,2113,6138,8559,IN
872,930,2558,3639,IN
873,27207,30711,61916,IN
874,1587,5589,7510,IN
875,715,2445,3286,IN
876,28296,40422,71957,IN
877,2081,4511,6913,IN
878,15922,21924,39569,IN
879,3018,9819,13415,IN
880,839,2896,3919,IN
881,9086,19133,29609,IN
882,2636,8206,11333,IN
883,8322,16028,25575,IN
884,2585,9999,13123,IN
885,2563,6813,9902,IN
886,3379,11357,15535,IN
887,1398,3575,5314,KS
888,665,2386,3277,KS
889,1946,3977,6393,KS
890,281,1822,2209,KS
891,1823,7766,10088,KS
892,1306,4314,5918,KS
893,850,2861,3960,KS
894,6489,18781,27051,KS
895,313,964,1342,KS
896,236,1552,1845,KS
897,1959,6017,8386,KS
898,188,1172,1409,KS
899,118,813,983,KS
900,665,2831,3727,KS
901,744,2856,3831,KS
902,719,2990,3962,KS
903,102,705,857,KS
904,3436,8016,12171,KS
905,5064,8394,14404,KS
906,178,1220,1460,KS
907,1582,5905,8008,KS
908,584,2601,3366,KS
909,30089,14308,48231,KS
910,208,1033,1308,KS
911,160,1048,1259,KS
912,2669,8311,11660,KS
913,515,1933,2626,KS
914,3006,6155,9731,KS
915,2032,4994,7425,KS
916,2829,7025,10658,KS
917,2569,4116,7129,KS
918,149,1127,1328,KS
919,185,1013,1265,KS
920,427,1755,2311,KS
921,257,1651,2011,KS
922,83,523,639,KS
923,484,2146,2811,KS
924,114,690,847,KS
925,388,1950,2513,KS
926,5006,8503,14540,KS
927,228,1011,1300,KS
928,124,845,1006,KS
929,1489,3888,5727,KS
930,2483,5112,8151,KS
931,180,1204,1483,KS
932,126324,133907,279753,KS
933,224,1048,1325,KS
934,594,2507,3281,KS
935,111,855,1023,KS
936,2234,5232,7919,KS
937,104,684,831,KS
938,10064,17387,29676,KS
939,214,1168,1448,KS
940,721,3377,4279,KS
941,149,1124,1348,KS
942,4456,6354,11745,KS
943,1177,3928,5465,KS
944,1060,3250,4578,KS
945,3183,8407,12443,KS
946,206,1390,1675,KS
947,3949,9839,14712,KS
948,469,2216,2824,KS
949,2557,8466,11623,KS
950,586,1790,2568,KS
951,145,970,1160,KS
952,714,4066,5025,KS
953,1464,4340,6151,KS
954,160,1216,1435,KS
955,277,1808,2190,KS
956,1730,4713,6894,KS
957,231,1437,1753,KS
958,424,2261,2866,KS
959,567,1872,2602,KS
960,296,2200,2611,KS
961,2191,7451,10359,KS
962,769,2824,3806,KS
963,160,1209,1448,KS
964,6670,15100,23448,KS
965,370,1993,2484,KS
966,668,2652,3567,KS
967,8892,9817,20475,KS
968,273,1999,2378,KS
969,227,1177,1474,KS
970,454,2544,3148,KS
971,6084,13367,21206,KS
972,232,1832,2159,KS
973,66716,101319,180750,KS
974,1491,3025,4743,KS
975,33270,35349,73648,KS
976,126,1186,1362,KS
977,340,2043,2537,KS
978,295,1635,2014,KS
979,303,1485,1884,KS
980,132,580,742,KS
981,215,1564,1853,KS
982,2039,6844,9494,KS
983,467,2832,3483,KS
984,193,1211,1459,KS
985,773,2358,3340,KS
986,45,711,779,KS
987,378,2136,2677,KS
988,139,765,934,KS
989,550,2747,3482,KS
990,270,1063,1420,KS
991,29346,15520,47467,KS
992,1323,6637,8228,KY
993,1349,6466,8085,KY
994,2634,8242,11414,KY
995,816,3161,4097,KY
996,4275,13483,18473,KY
997,1361,3082,4577,KY
998,1720,7764,9714,KY
999,15026,39082,57550,KY
